REG;Région;NBARR;NBCAN;NBCOM;PMUN;PTOT
01;Guadeloupe;2;21;32;384160;388493
02;Martinique;4;;34;360630;364348
03;Guyane;3;;22;293996;296053
04;La Réunion;4;25;24;889679;899660
11;Île-de-France;25;155;1266;12463067;12571781
24;Centre-Val de Loire;20;102;1754;2587031;2644169
27;Bourgogne-Franche-Comté;24;152;3685;2802670;2872652
28;Normandie;17;131;2644;3345842;3415447
32;Hauts-de-France;26;145;3782;5992194;6081819
44;Grand Est;38;200;5115;5563378;5664044
52;Pays de la Loire;16;107;1228;3907156;3997387
53;Bretagne;15;102;1202;3449370;3537071
75;Nouvelle-Aquitaine;41;258;4293;6150451;6288233
76;Occitanie;36;249;4446;6124653;6246196
84;Auvergne-Rhône-Alpes;39;241;4025;8205557;8373427
93;Provence-Alpes-Côte d'Azur;18;126;946;5218960;5293055
94;Corse;5;26;360;355486;360270
