DATE DE CLASSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION (villages de vacances);NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION (résidences de tourisme);NOMBRE DE LOGEMENTS (villages de vacances);classement prorogé
19/06/2023;HÔTEL DE TOURISME;3 étoiles;-;-;1924 HÔTEL;2 Rue Gabriel Péri;38000;GRENOBLE;https://www.1924hotel.com/;-;62;37;-;-;-;non
20/10/2021;HÔTEL DE TOURISME;4 étoiles;-;-;25HOURS HÔTEL TERMINUS NORD;12 boulevard de Denain;75010;PARIS 10E ARRONDISSEMENT;https://www.25hours-hotels.com/fr;-;489;237;-;-;-;non
20/03/2023;HÔTEL DE TOURISME;5 étoiles;-;-;5 TERRES HÔTEL & SPA MGALLERY BY SOFITEL;11 Place de l'Hôtel de ville;67140;BARR;https://5terres-hotel.fr/fr/;-;54;27;-;-;-;non
18/02/2025;HÔTEL DE TOURISME;4 étoiles;-;-;6 VH HOTEL;6 Avenue Victor Hugo;75116;PARIS 16E ARRONDISSEMENT;https://www.le6vhhotel.com/;-;70;35;-;-;-;non
24/10/2022;HÔTEL DE TOURISME;4 étoiles;-;-;7HÔTEL&SPA;550 Boulevard Sébastien Brandt;67400;ILLKIRCH-GRAFFENSTADEN;https://7hotel.fr/;-;288;137;-;-;-;non
23/12/2024;HÔTEL DE TOURISME;3 étoiles;-;-;9 HÔTEL BASTILLE LYON;23 rue de lyon;75012;PARIS;https://www.9-hotel-bastille-lyon.fr;-;88;48;-;-;-;non
22/09/2021;HÔTEL DE TOURISME;3 étoiles;-;-;9HÔTEL OPÉRA;14 rue Papillon;75009;PARIS 9E ARRONDISSEMENT;https://www.9-hotel-opera-paris.fr/;-;91;48;-;-;-;non
21/02/2022;HÔTEL DE TOURISME;4 étoiles;-;-;9HÔTEL RÉPUBLIQUE;7/9 Rue Pierre Chausson;75010;PARIS 10E ARRONDISSEMENT;https://www.9-hotel-republique-paris.fr/;-;92;48;-;-;-;non
18/11/2022;HÔTEL DE TOURISME;2 étoiles;-;-;A L'OUSTAL;1 avenue des thermes;32150;CAZAUBON;www.hoteloustalbarbotan.fr;-;11;6;-;-;-;non
22/07/2024;HÔTEL DE TOURISME;3 étoiles;-;-;A RENA D'ORU;ESIGNA;20118;COGGIA;https://www.arenadoru.com/;-;76;36;-;-;-;non
09/11/2022;HÔTEL DE TOURISME;4 étoiles;-;-;ABBAYE DE SAINTE CROIX;route du Val de Cuech;13300;SALON-DE-PROVENCE;https://garrigae.fr/etablissements/abbaye-de-sainte-croix/;-;61;25;-;-;-;non
02/05/2023;HÔTEL DE TOURISME;2 étoiles;-;-;ABBYS HÔTEL;Lieu-dit Vialard;24200;CARSAC-AILLAC;http://abbys-hotel.com/;-;72;32;-;-;-;non
27/03/2023;HÔTEL DE TOURISME;2 étoiles;-;-;ABELHA HÔTEL;60 avenue jean jaurès;19100;BRIVE-LA-GAILLARDE;http://www.abelha.fr;-;51;23;-;-;-;non
31/03/2023;HÔTEL DE TOURISME;3 étoiles;-;-;ABOR HOTEL;112 chemin de lubet;40280;SAINT-PIERRE-DU-MONT;www.aborhotel.com;-;187;68;-;-;-;non
